Experience,Rho_max,Packet_generation,Nodes,PathLoss,Packet_Sent,Packet_Loss,Collisions,Energy,DER,Mathematical-Model,Error,SF7,SF8,SF9,SF10,SF11,SF12,DSF7,DSF8,DSF9,DSF10,DSF11,DSF12
1,0.3,100,2500,6,179924,0,77884,2.502450677759996,56.7106111469287,19.73778751257352,36.97282363435518,0.7671705600000002,0.31696896,1.5494758399999995,0.0,0.0,0.0,1356,308,836,0,0,0
1,0.3,100,2500,6,180071,0,82367,2.1530587115520023,54.256931987938096,23.47505564897189,30.781876338966207,0.65232128,0.31079424,1.6643891199999998,0.3076710399999999,0.30396416,0.30334976,1153,302,898,83,41,23
1,0.5,100,5000,6,360752,0,228015,4.998286166016004,36.79203441699561,6.035354864883602,30.75667955211201,1.5490508800000002,0.61438464,3.0859776,0.0,0.0,0.0,2738,597,1665,0,0,0
1,0.5,100,5000,6,359985,0,226508,5.44088268364801,37.07598927733101,8.125086040762763,28.95090323656824,1.4098739200000003,0.61129728,2.9265817599999995,0.5004288,1.2010291199999998,0.5011865600000001,2492,594,1579,135,162,38
1,0.5,300,5000,6,120690,0,39533,1.673908076543998,67.2400364570387,31.679825876695624,35.560210580343075,0.5163502933333335,0.20479488,1.0286592,0.0,0.0,0.0,2738,597,1665,0,0,0
1,0.5,300,5000,6,119834,0,34091,1.7895198942720043,71.55064505899828,38.97230853205215,32.57833652694614,0.4999432533333333,0.22331904,0.6085461333333332,0.4942506666666666,0.4917794133333332,0.5011865600000001,2651,651,985,400,199,114
1,0.5,300,5000,6,119269,0,39016,1.6479453788159946,67.28487704265149,31.679825876695624,35.605051165955864,0.5163502933333335,0.20479488,1.0286592,0.0,0.0,0.0,2738,597,1665,0,0,0
1,0.5,300,5000,6,120070,0,33422,1.6418267389439982,72.15874073457151,39.01713671003913,33.14160402453238,0.4999432533333333,0.2246911999999999,0.6005145599999999,0.5004288,0.5016644266666667,0.5011865600000001,2651,655,972,405,203,114
1,0.5,300,5000,6,120515,23703,33190,8.661284898815925,52.78430070945526,31.07066420305056,21.7136365064047,0.25798656,0.09639424,0.6400546133333332,0.6548821333333332,0.5436757333333333,6.880324266666666,1368,281,1036,530,220,1565
1,0.5,300,5000,6,119720,23564,34711,7.29415599897589,51.318075509522224,31.07066420305056,20.247411306471665,0.25798656,0.09639424,0.6400546133333332,0.6548821333333332,0.5436757333333333,6.880324266666666,1368,281,1036,530,220,1565
1,0.5,300,5000,6,120515,23703,33190,8.661284898815925,52.78430070945526,31.07066420305056,21.7136365064047,0.25798656,0.09639424,0.6400546133333332,0.6548821333333332,0.5436757333333333,6.880324266666666,1368,281,1036,530,220,1565
1,0.5,300,5000,6,119720,23564,34921,7.266820987391898,51.142666221182765,31.07066420305056,20.072002018132206,0.25798656,0.09639424,0.6400546133333332,0.6548821333333332,0.5436757333333333,6.880324266666666,1368,281,1036,530,220,1565
1,0.5,300,5000,6,120690,0,39533,1.673908076543998,67.2400364570387,31.679825876695624,35.560210580343075,0.5163502933333335,0.20479488,1.0286592,0.0,0.0,0.0,2738,597,1665,0,0,0
1,0.5,300,5000,6,119834,0,34488,1.780743950592006,71.21851895121584,38.905958060335024,32.31256089088082,0.49994325333333334,0.21988864000000002,0.6060748799999999,0.50413568,0.5090781866666666,0.4967901866666667,2651,641,981,408,206,113
